Date,Type,Category,Account,Description,Amount
2025-12-02,Income,Other,union,int,407.0
2025-12-02,Expense,Other,HDFC,tea,66.0
2025-12-02,Expense,ayyappa,HDFC,compound beam,37000.0
2025-12-02,Expense,Other,SBIcc,washing machine,88.0
2025-12-02,Expense,Other,SBIcc,recharge,167.0
2025-12-02,Expense,nagesh,nCChdfc,sundirect,300.0
2025-12-02,Expense,Other,HDFC,gunapam,750.0
2025-12-01,Expense,Other,union,ccbill,3334.0
2025-12-01,Expense,Other,Abank,ccbill,4593.0
2025-12-01,Expense,Other,HDFC,cement,16300.0
2025-12-01,Expense,ayyappa,HDFC,beams,55000.0
2025-12-01,Expense,Other,nCChdfc,petrol,500.0
2025-12-01,Expense,Other,ICICIcc,amazon,1863.0
2025-12-01,Expense,Other,cash,beams,200.0
2025-12-01,Expense,Other,SBIcc,chicken,830.0
2025-12-01,Expense,mavayya garu,SBIcc,permit,300.0
2025-11-12,Income,Other,FAxisCC,cb,322.0
2025-11-12,Expense,Other,SBIcc,milk,130.0
2025-11-12,Expense,Other,SBIcc,food,600.0
2025-11-12,Expense,Other,SBIcc,recharge,644.0
2025-11-11,Expense,Other,SBIcc,vegetables,300.0
2025-11-11,Expense,Other,HDFC,iron,45000.0
2025-11-11,Expense,Other,SBIcc,milk,120.0
2025-11-11,Expense,Other,SBIcc,fish,1300.0
2025-11-11,Expense,Other,SBIcc,hardware,100.0
2025-11-11,Expense,Other,SBIcc,drinks,550.0
2025-11-10,Expense,Other,SBIcc,medicines,800.0
2025-11-10,Expense,Other,SBIcc,milk,85.0
2025-11-10,Expense,ayyappa,HDFC,basement,14000.0
2025-11-09,Expense,Other,SBIcc,kirana,1585.0
2025-11-09,Expense,Other,SBIcc,vegetables,330.0
2025-11-09,Expense,Other,SBIcc,medicines,2137.0
2025-11-09,Expense,Other,HDFC,kirana,165.0
2025-11-09,Expense,Other,ICICIcc,diapers,669.0
2025-11-09,Expense,Other,SBIcc,itr,571.0
